SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
3IINFOTECH,3i Infotech Limited,EQ,22-APR-2005,10,1,INE748C01020,10
3MINDIA,3M India Limited,EQ,13-AUG-2004,10,1,INE470A01017,10
AARTIDRUGS,Aarti Drugs Ltd.,EQ,19-SEP-2003,10,1,INE767A01016,10
AARTIIND,Aarti Industries Ltd.,EQ,08-FEB-1995,5,1,INE769A01020,5
AARVEEDEN,Aarvee Denims & Exports Limited,EQ,21-NOV-2006,10,1,INE273D01019,10
ABAN,Aban Offshore Ltd.,EQ,29-MAR-1995,2,1,INE421A01028,2
ABB,ABB Limited,EQ,08-FEB-1995,2,1,INE117A01022,2
ABGSHIP,ABG Shipyard Limited,EQ,11-APR-2007,10,1,INE067H01016,10
ABIRLANUVO,Aditya Birla Nuvo Limited,EQ,13-SEP-1995,10,1,INE069A01017,10
ABSHEKINDS,Abhishek Industries Limited,EQ,21-FEB-2001,10,1,INE064C01014,10
ACC,ACC Limited,EQ,20-NOV-1996,10,1,INE012A01025,10
ACE,Action Construction Equipment Limited,EQ,26-SEP-2006,10,1,INE731H01017,10
ADANIENT,Adani Enterprises Limited,EQ,04-JUN-1997,1,1,INE423A01024,1
ADHUNIK,Adhunik Metaliks Limited,EQ,05-APR-2006,10,1,INE400H01019,10
ADLABSFILM,Adlabs Films Limited,EQ,10-JAN-2001,5,1,INE540B01015,5
ADORWELD,Ador Welding Limited,EQ,10-MAY-1995,10,1,INE045A01017,10
ADSL,Allied Digital Services Limited,EQ,25-JUL-2007,10,1,INE102I01019,10
ADVANTA,Advanta India Limited,EQ,19-APR-2007,10,1,INE517H01010,10
AEGISCHEM,Aegis Logistics Limited,EQ,03-APR-1996,10,1,INE208C01017,10
AFL,Accel Frontline Limited,EQ,30-OCT-2006,10,1,INE020G01017,10
AFTEK,Aftek Limited,EQ,16-AUG-2000,2,1,INE796A01023,2
AGRODUTCH,Agro Dutch Industries Limited,EQ,27-SEP-2000,10,1,INE135B01014,10
AHMEDFORGE,Ahmednagar Forgings Ltd,EQ,23-AUG-1995,10,1,INE425A01011,10
AIAENG,AIA Engineering Limited,EQ,14-DEC-2005,10,1,INE212H01018,10
AIRDECCAN,Deccan Aviation Limited,EQ,12-JUN-2006,10,1,INE438H01019,10
AJANTPHARM,Ajanta Pharma Limited,EQ,29-MAY-2000,10,1,INE031B01015,10
AKRUTI,Akruti Nirman Limited,EQ,07-FEB-2007,10,1,INE703H01016,10
ALBK,Allahabad Bank,EQ,29-NOV-2002,10,1,INE428A01015,10
ALCHEM,Alchemist Ltd,EQ,31-JUL-2007,10,1,INE964B01033,10
ALEMBICLTD,Alembic Limited,EQ,22-SEP-1999,2,1,INE426A01027,2
ALFALAVAL,Alfa Laval India Ltd,EQ,08-FEB-1995,10,1,INE427A01017,10
ALLCARGO,Allcargo Global Logistics Limited,EQ,23-JUN-2006,10,1,INE418H01011,10
ALLSEC,Allsec Technologies Limited,EQ,09-MAY-2005,10,1,INE835G01018,10
ALOKTEXT,Alok Industries Limited,EQ,10-APR-1996,10,1,INE270A01011,10
ALPA,Alpa Laboratories Limited,EQ,06-AUG-2007,10,1,INE385I01010,10
ALPHAGEO,Alphageo (India) Limited,EQ,11-MAY-2007,10,1,INE137C01018,10
ALPSINDUS,Alps Industries Ltd.,EQ,24-APR-1996,10,1,INE093B01015,10
AMAR,Amar Remedies Limited,EQ,16-SEP-2005,10,1,INE787G01011,10
AMARAJABAT,Amara Raja Batteries Ltd,EQ,05-SEP-2003,2,1,INE885A01024,2
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,EQ,29-JUN-2004,10,1,INE792B01012,10
AMBUJACEM,Ambuja Cements Ltd,EQ,18-FEB-1998,2,1,INE079A01024,2
AMDMET,AMD Metplast Limited,EQ,19-MAR-2007,10,1,INE005I01014,10
AML,Abhishek Mills Ltd,EQ,19-MAR-2007,10,1,INE004I01017,10
AMTEKAUTO,Amtek Auto Ltd,EQ,02-MAR-2005,2,1,INE130C01021,2
AMTEKINDIA,Amtek India Limited,EQ,27-JUN-2005,2,1,INE068D01021,2
ANANTRAJ,Anant Raj Industries Limited,EQ,27-SEP-2006,2,1,INE242C01016,2
ANDHRABANK,Andhra Bank,EQ,04-APR-2001,10,1,INE434A01013,10
ANDHRSUGAR,The Andhra Sugars Ltd,EQ,01-NOV-1995,10,1,INE715B01013,10
ANGAUTO,ANG Auto Limited,EQ,12-FEB-2007,10,1,INE017D01010,10
ANKURDRUGS,Ankur Drugs And Pharma Limited,EQ,22-MAY-2007,10,1,INE238D01012,10
ANSALHSG,Ansal Housing and Construction Limited,EQ,06-OCT-2006,10,1,INE880B01015,10
ANSALINFRA,Ansal Properties & Infrastructure Limited,EQ,27-JAN-2006,5,1,INE436A01026,5
APARINDS,Apar Industries Limited,EQ,12-JUL-2004,10,1,INE372A01015,10
APCOTEXIND,Apcotex Industries Limited,EQ,06-SEP-1995,10,1,INE116A01016,10
APIL,Alstom Projects India Limited,EQ,19-APR-2000,10,1,INE878A01011,10
APOLLOHOSP,Apollo Hospitals Enterprise Ltd,EQ,10-JAN-1996,10,1,INE437A01016,10
APOLLOTYRE,Apollo Tyres Ltd,EQ,31-MAY-1995,1,1,INE438A01022,1
APPAPER,The Andhra Pradesh Paper Mills Limited,EQ,13-MAY-2004,10,1,INE435A01028,10
APTECHT,Aptech Limited,EQ,27-SEP-2002,10,1,INE266F01018,10
ARCHIES,Archies Limited,EQ,02-SEP-1998,10,1,INE731A01012,10
ARIHANT,Arihant Foundations & Housing Ltd,EQ,26-DEC-2006,10,1,INE413D01011,10
ARL,Arvind Remedies Limited,EQ,08-JAN-2003,1,1,INE211C01029,1
AROGRANITE,Aro Granite Industries Limited,EQ,24-APR-2007,10,1,INE210C01013,10
ARVINDMILL,Arvind Mills Ltd,EQ,08-FEB-1995,10,1,INE034A01011,10
ASAHIINDIA,Asahi India Glass Limited,EQ,18-MAR-1998,1,1,INE439A01020,1
ASAL,Automotive Stampings and Assemblies Limited,EQ,12-MAR-2002,10,1,INE900C01027,10
ASHAPURMIN,Ashapura Minechem Ltd,EQ,20-SEP-1995,2,1,INE348A01023,2
ASHIMASYN,Ashima Limited,EQ,27-JUL-1995,10,1,INE440A01010,10
ASHOKLEY,Ashok Leyland Ltd,EQ,25-MAY-1995,1,1,INE208A01029,1
ASIANELEC,Asian Electronics Ltd,EQ,13-SEP-1995,10,1,INE441A01018,10
ASIANHOTEL,Asian Hotels Ltd,EQ,07-FEB-2001,10,1,INE363A01014,10
ASIANPAINT,Asian Paints Limited,EQ,31-MAY-1995,10,1,INE021A01018,10
ASIANTILES,Asian Granito India Limited,EQ,23-AUG-2007,10,1,INE022I01019,10
ASIL,Amit Spinning Industries Limited,EQ,17-OCT-2005,5,1,INE988A01026,5
ASTRAL,Astral Poly Technik Limited,EQ,20-MAR-2007,10,1,INE006I01012,10
ASTRAMICRO,Astra Microwave Products Limited,EQ,01-NOV-2004,2,1,INE386C01029,2
ASTRAZEN,AstraZeneca Pharma India Limited,EQ,04-MAY-2001,2,1,INE203A01020,2
ATFL,Agro Tech Foods Limited,EQ,06-DEC-2002,10,1,INE209A01019,10
ATLANTA,Atlanta  Limited,EQ,25-SEP-2006,10,1,INE285H01014,10
ATLASCYCLE,Atlas Cycles (Haryana) Ltd,EQ,23-OCT-1996,10,1,INE446A01017,10
ATUL,Atul Ltd.,EQ,06-MAY-1998,10,1,INE100A01010,10
AURIONPRO,Aurionpro Solutions Limited,EQ,25-OCT-2005,10,1,INE132H01018,10
AUROPHARMA,Aurobindo Pharma Ltd,EQ,19-JUL-2000,5,1,INE406A01029,5
AUTOAXLES,Automative Axles Ltd,EQ,29-MAY-2003,10,1,INE449A01011,10
AUTOIND,Autoline Industries Limited,EQ,31-JAN-2007,10,1,INE718H01014,10
AVAYAGCL,Avaya GlobalConnect Limited,EQ,22-JUL-2003,10,1,INE676A01019,10
AVENTIS,Aventis Pharma Limited,EQ,19-MAY-2003,10,1,INE058A01010,10
AVTNPL,AVT Natural Products Limited,EQ,10-JAN-2007,10,1,INE488D01013,10
AXISBANK,Axis Bank Limited,EQ,16-NOV-1998,10,1,INE238A01026,10
AZTECSOFT,Aztecsoft Limited,EQ,29-NOV-2000,3,1,INE651B01010,3
BAGFILMS,B.A.G Films and Media Limited,EQ,17-OCT-2003,2,1,INE116D01028,2
BAJAJAUTO,Bajaj Auto Ltd,EQ,15-MAR-1995,10,1,INE118A01012,10
BAJAJHIND,Bajaj Hindusthan Ltd,EQ,10-MAY-1995,1,1,INE306A01021,1
BAJAUTOFIN,Bajaj Auto Finance Ltd,EQ,01-APR-2003,10,1,INE296A01016,10
BALAJITELE,Balaji Telefilms Ltd.,EQ,22-NOV-2000,2,1,INE794B01026,2
BALAMINES,Balaji Amines Limited,EQ,05-APR-2007,10,1,INE050E01019,10
BALKRISIND,Balkrishna Industries Limited,EQ,27-JAN-2006,10,1,INE787D01018,10
BALMLAWRIE,Balmer Lawrie & Co. Ltd,EQ,06-JUL-1995,10,1,INE164A01016,10
BALPHARMA,Bal Pharma Limited,EQ,08-MAY-2006,10,1,INE083D01012,10
BALRAMCHIN,Balrampur Chini Mills Ltd,EQ,08-FEB-1995,1,1,INE119A01028,1
BANARISUG,Bannari Amman Sugars Ltd,EQ,28-MAY-2003,10,1,INE459A01010,10
BANCOINDIA,Banco Products (I) Ltd,EQ,22-DEC-2006,10,1,INE213C01017,10
BANKBARODA,Bank of Baroda,EQ,19-FEB-1997,10,1,INE028A01013,10
BANKBEES,Benchmark Asset Management Company Pvt. Ltd.,EQ,04-JUN-2004,10,1,INF732E01078,10
BANKINDIA,Bank of India,EQ,30-APR-1997,10,1,INE084A01016,10
BANKRAJAS,The Bank of Rajasthan Ltd,EQ,18-NOV-2005,10,1,INE320A01014,10
BANSWRAS,Banswara Syntex Limited,EQ,11-APR-2007,10,1,INE629D01012,10
BARTRONICS,Bartronics India Limited,EQ,12-JAN-2006,10,1,INE855F01034,10
BASF,BASF India Ltd,EQ,17-MAY-1995,10,1,INE373A01013,10
BASML,Bannari Amman Spinning Mills Limited,EQ,14-NOV-2005,10,1,INE186H01014,10
BATAINDIA,Bata India Ltd,EQ,18-JUN-2003,10,1,INE176A01010,10
BATLIBOI,Batliboi Limited,EQ,20-DEC-2006,5,1,INE177C01022,5
BBL,Bharat Bijlee Ltd.,EQ,21-NOV-2006,10,1,INE464A01028,10
BBTC,Bombay Burmah Trading Corp. Ltd,EQ,03-APR-1996,10,1,INE050A01017,10
